annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2014;44;Grand Est;Production thermique (GWh);6115.0;Thermique;6115000.0;Non-Renouvelable
2017;52;Pays de la Loire;Production thermique (GWh);6743.0;Thermique;6743000.0;Non-Renouvelable
2022;52;Pays de la Loire;Production thermique (GWh);3265.0;Thermique;3265000.0;Non-Renouvelable
2015;53;Bretagne;Production thermique (GWh);413.0;Thermique;413000.0;Non-Renouvelable
2019;53;Bretagne;Production thermique (GWh);890.0;Thermique;890000.0;Non-Renouvelable
2020;53;Bretagne;Production thermique (GWh);931.0;Thermique;931000.0;Non-Renouvelable
2024;53;Bretagne;Production thermique (GWh);1627.0;Thermique;1627000.0;Non-Renouvelable
2020;76;Occitanie;Production thermique (GWh);302.0;Thermique;302000.0;Non-Renouvelable
2018;84;Auvergne-Rhône-Alpes;Production thermique (GWh);1499.0;Thermique;1499000.0;Non-Renouvelable
2021;84;Auvergne-Rhône-Alpes;Production thermique (GWh);2239.0;Thermique;2239000.0;Non-Renouvelable
2023;84;Auvergne-Rhône-Alpes;Production thermique (GWh);1407.0;Thermique;1407000.0;Non-Renouvelable
2020;44;Grand Est;Production thermique (GWh);6742.0;Thermique;6742000.0;Non-Renouvelable
2022;44;Grand Est;Production thermique (GWh);11281.0;Thermique;11281000.0;Non-Renouvelable
2014;52;Pays de la Loire;Production thermique (GWh);3592.0;Thermique;3592000.0;Non-Renouvelable
2017;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);9546.0;Thermique;9546000.0;Non-Renouvelable
2021;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);5676.0;Thermique;5676000.0;Non-Renouvelable
2022;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);8946.0;Thermique;8946000.0;Non-Renouvelable
2017;94;Corse;Production thermique (GWh);1007.0;Thermique;1007000.0;Non-Renouvelable
2016;11;Île-de-France;Production thermique (GWh);2299.0;Thermique;2299000.0;Non-Renouvelable
2018;11;Île-de-France;Production thermique (GWh);1726.0;Thermique;1726000.0;Non-Renouvelable
2020;11;Île-de-France;Production thermique (GWh);1739.0;Thermique;1739000.0;Non-Renouvelable
2016;24;Centre-Val de Loire;Production thermique (GWh);312.0;Thermique;312000.0;Non-Renouvelable
2022;24;Centre-Val de Loire;Production thermique (GWh);403.0;Thermique;403000.0;Non-Renouvelable
2014;27;Bourgogne-Franche-Comté;Production thermique (GWh);483.0;Thermique;483000.0;Non-Renouvelable
2015;27;Bourgogne-Franche-Comté;Production thermique (GWh);599.0;Thermique;599000.0;Non-Renouvelable
